trajectory_id,participant_id,sample_index,x,y,time,start_x,start_y,target_x,target_y,canvas_width,canvas_height,sample_interval_ms,session_id
f5fd75b5,P06,0,428,114,0.0,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,1,428,114,0.0006994579998718109,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,2,428,114,0.006091875000493019,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,3,428,114,0.011874832999637874,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,4,428,114,0.017369207999763603,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,5,428,114,0.023096832999726757,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,6,428,114,0.02885287499975675,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,7,428,114,0.034605542000463174,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,8,428,114,0.040346374999899126,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,9,428,114,0.04598033300044335,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,10,428,114,0.05172408300040843,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,11,428,113,0.05709245799971541,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,12,428,113,0.0669473329999164,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,13,428,113,0.07269620799979748,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,14,428,113,0.07843662499999482,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,15,428,113,0.08369850000053702,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,16,428,113,0.08942479200050002,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,17,428,113,0.09515320799982874,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,18,428,113,0.10084758300035901,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,19,428,113,0.10658695799975249,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,20,428,113,0.11232100000052014,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,21,428,113,0.11885712500043155,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,22,428,114,0.12705504200039286,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,23,428,116,0.13796991700019134,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,24,429,119,0.14428908300033072,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,25,429,122,0.14954095800021605,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,26,429,129,0.16055725000023813,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,27,429,129,0.16597208300026978,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,28,429,139,0.17108558299969445,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,29,428,150,0.17830133300049056,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,30,425,161,0.18580225000005157,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,31,420,176,0.19461654200040357,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,32,414,188,0.2006493330000012,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,33,407,200,0.211785499999678,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,34,397,216,0.2170885420000559,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,35,387,230,0.2263353329999518,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,36,379,238,0.2314190420001978,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,37,360,260,0.24311095800021576,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,38,360,260,0.248535499999889,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,39,347,271,0.2536234580002201,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,40,337,279,0.26139408299968636,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,41,330,284,0.2678634579997379,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,42,316,293,0.27435283300019364,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,43,316,293,0.2797671670005002,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,44,306,298,0.28513370800010307,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,45,298,303,0.29265550000036455,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,46,284,309,0.2983610419996694,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,47,274,313,0.30916604200047004,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,48,265,316,0.31441929199991137,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,49,257,320,0.32028095799978473,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,50,253,322,0.3280394579996937,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,51,243,325,0.33547675000045274,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,52,243,326,0.3444332079998276,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,53,239,327,0.3503910420004104,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,54,237,327,0.3610004170004686,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,55,235,327,0.3662660420004613,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,56,235,327,0.37599000000045635,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,57,230,327,0.3810762920002162,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,58,230,327,0.38796266700046544,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,59,226,327,0.39554537500043807,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,60,221,328,0.40336829199986823,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,61,220,328,0.4114740830000301,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,62,218,329,0.41878866699971695,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,63,215,332,0.42754033300025185,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,64,212,335,0.43331516699981876,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,65,210,337,0.4414772500003892,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,66,208,337,0.44870704200002365,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,67,206,339,0.4594895420004832,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,68,203,341,0.4648360829996818,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,69,199,343,0.47041558300043107,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,70,196,344,0.478021957999772,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,71,195,345,0.4853178330004084,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,72,194,345,0.49484149999989313,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,73,192,345,0.500428207999903,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,74,191,346,0.5076955829999861,436,112,164,343,906,606,5,session_03
f5fd75b5,P06,75,188,346,0.5155448750001597,436,112,164,343,906,606,5,session_03
