trajectory_id,participant_id,sample_index,x,y,time,start_x,start_y,target_x,target_y,canvas_width,canvas_height,sample_interval_ms,session_id
a1e49453,P02,65,732,281,0.4525010419993123,100,300,800,300,906,606,5,session_01
a1e49453,P02,66,732,281,0.45858091699938086,100,300,800,300,906,606,5,session_01
a1e49453,P02,67,755,281,0.46604116699927545,100,300,800,300,906,606,5,session_01
a1e49453,P02,68,764,281,0.47690379199957533,100,300,800,300,906,606,5,session_01
a1e49453,P02,69,768,280,0.4821234169994568,100,300,800,300,906,606,5,session_01
a1e49453,P02,70,771,280,0.48845354199966096,100,300,800,300,906,606,5,session_01
a1e49453,P02,71,772,280,0.4965205419994163,100,300,800,300,906,606,5,session_01
a1e49453,P02,72,772,280,0.503766374999941,100,300,800,300,906,606,5,session_01
a1e49453,P02,73,772,281,0.5119735839998611,100,300,800,300,906,606,5,session_01
a1e49453,P02,74,772,281,0.5186452089992599,100,300,800,300,906,606,5,session_01
a1e49453,P02,75,772,281,0.5250884589995621,100,300,800,300,906,606,5,session_01
a1e49453,P02,76,772,281,0.5304899590000787,100,300,800,300,906,606,5,session_01
a1e49453,P02,77,772,282,0.5358854169999177,100,300,800,300,906,606,5,session_01
a1e49453,P02,78,772,282,0.5419036670000423,100,300,800,300,906,606,5,session_01
a1e49453,P02,79,772,282,0.5490460839992011,100,300,800,300,906,606,5,session_01
a1e49453,P02,80,772,282,0.5547863339998003,100,300,800,300,906,606,5,session_01
a1e49453,P02,81,772,282,0.5605420419997245,100,300,800,300,906,606,5,session_01
a1e49453,P02,82,772,282,0.5662919999995211,100,300,800,300,906,606,5,session_01
a1e49453,P02,83,772,282,0.5716056249993926,100,300,800,300,906,606,5,session_01
a1e49453,P02,84,772,282,0.5784749589993226,100,300,800,300,906,606,5,session_01
a1e49453,P02,85,773,282,0.5867153339995639,100,300,800,300,906,606,5,session_01
a1e49453,P02,86,774,283,0.5942347089994655,100,300,800,300,906,606,5,session_01
a1e49453,P02,87,775,285,0.601552083999195,100,300,800,300,906,606,5,session_01
a1e49453,P02,88,780,287,0.6093976249994739,100,300,800,300,906,606,5,session_01
